[Starting] Opening the serial port - COM14
[Info] Opened the serial port - COM14
---BEGIN---
TIME	INPUT	OUTPUT	TS	GRADIENT
1	0	23.50	1	0.00
252	0	23.50	251	0.00
505	0	23.50	253	0.00
757	0	23.75	252	0.00
1010	0	23.50	253	-0.00
1262	0	23.25	252	-0.00
1515	0	23.75	253	0.00
1767	0	23.50	252	-0.00
2020	0	23.50	253	0.00
2272	0	23.25	252	-0.00
2525	0	23.25	253	0.00
2777	1	23.50	252	0.00
3030	1	23.75	253	0.00
3281	1	23.50	251	-0.00
3533	1	23.50	252	0.00
3786	1	23.50	253	0.00
4038	1	23.50	252	0.00
4291	1	23.50	253	0.00
4543	1	23.50	252	0.00
4796	1	23.75	253	0.00
5048	1	23.50	252	-0.00
5301	1	23.50	253	0.00
5553	1	23.50	252	0.00
5806	1	23.75	253	0.00
6057	1	23.75	251	0.00
6310	1	23.50	253	-0.00
6562	1	23.50	252	0.00
6815	1	23.75	253	0.00
7067	1	23.50	252	-0.00
7320	1	23.50	253	0.00
7572	1	23.00	252	-0.00
7825	1	23.75	253	0.00
8077	1	23.75	252	0.00
8330	1	23.50	253	-0.00
8582	1	23.75	252	0.00
8835	1	24.00	253	0.00
9086	1	23.75	251	-0.00
9338	1	23.75	252	0.00
9591	1	23.75	253	0.00
9843	1	23.75	252	0.00
10096	1	23.75	253	0.00
10348	1	23.25	252	-0.00
10601	1	23.75	253	0.00
10853	1	23.75	252	0.00
11106	1	23.75	253	0.00
11359	1	23.50	253	-0.00
11611	1	23.75	252	0.00
11864	1	23.50	253	-0.00
12115	1	23.25	251	-0.00
12368	1	23.75	253	0.00
12620	1	23.75	252	0.00
12873	1	24.00	253	0.00
13125	1	23.75	252	-0.00
13378	1	23.50	253	-0.00
13630	1	24.00	252	0.00
13883	1	23.75	253	-0.00
14135	1	24.00	252	0.00
14388	1	24.00	253	0.00
14640	1	24.00	252	0.00
14893	1	23.75	253	-0.00
15144	1	24.25	251	0.00
15397	1	24.00	253	-0.00
15650	1	24.00	253	0.00
15902	1	23.75	252	-0.00
16155	1	23.75	253	0.00
16407	1	24.00	252	0.00
16660	1	23.50	253	-0.00
16912	1	23.50	252	0.00
17165	1	24.25	253	0.00
17417	1	24.25	252	0.00
17670	1	24.25	253	0.00
17922	1	24.25	252	0.00
18174	1	24.50	252	0.00
18426	1	24.25	252	-0.00
18679	1	23.75	253	-0.00
18931	1	24.50	252	0.00
19184	1	24.25	253	-0.00
19436	1	24.50	252	0.00
19689	1	24.50	253	0.00
19941	1	23.75	252	-0.00
20194	1	24.75	253	0.00
20447	1	24.00	253	-0.00
20699	1	24.75	252	0.00
20952	1	25.00	253	0.00
21203	1	24.50	251	-0.00
21456	1	25.00	253	0.00
21708	1	24.75	252	-0.00
21961	1	24.75	253	0.00
22213	1	25.25	252	0.00
22466	1	25.00	253	-0.00
22718	1	25.25	252	0.00
22971	1	25.25	253	0.00
23223	1	25.50	252	0.00
23476	1	25.50	253	0.00
23728	1	25.50	252	0.00
23981	1	25.75	253	0.00
24232	1	25.75	251	0.00
24485	1	25.75	253	0.00
24737	1	25.50	252	-0.00
24990	1	26.00	253	0.00
25243	1	25.50	253	-0.00
25495	1	26.25	252	0.00
25748	1	26.25	253	0.00
26000	1	26.25	252	0.00
26253	1	26.50	253	0.00
26505	1	26.50	252	0.00
26758	1	26.50	253	0.00
27010	1	26.25	252	-0.00
27262	1	26.75	252	0.00
27514	1	26.75	252	0.00
27767	1	26.75	253	0.00
28019	1	27.00	252	0.00
28272	1	26.75	253	-0.00
28524	1	27.25	252	0.00
28777	1	27.25	253	0.00
29029	1	27.50	252	0.00
29282	1	27.25	253	-0.00
29535	1	27.50	253	0.00
29787	1	27.75	252	0.00
30040	1	27.50	253	-0.00
30291	1	28.00	251	0.00
30544	1	28.00	253	0.00
30796	1	28.00	252	0.00
31049	1	28.50	253	0.00
31301	1	28.50	252	0.00
31554	1	28.75	253	0.00
31806	1	29.00	252	0.00
32059	1	28.50	253	-0.00
32311	1	29.25	252	0.00
32564	1	29.25	253	0.00
32816	1	29.00	252	-0.00
33069	1	29.75	253	0.00
33320	1	29.75	251	0.00
33573	1	29.75	253	0.00
33825	1	30.00	252	0.00
34078	1	30.25	253	0.00
34330	1	29.75	252	-0.00
34583	1	30.50	253	0.00
34836	1	30.75	253	0.00
35088	1	30.50	252	-0.00
35341	1	31.25	253	0.00
35593	1	31.00	252	-0.00
35846	1	31.25	253	0.00
36098	1	31.75	252	0.00
36350	1	31.75	252	0.00
36602	1	31.50	252	-0.00
36855	1	32.00	253	0.00
37107	1	31.75	252	-0.00
37360	1	32.50	253	0.00
37612	1	32.50	252	0.00
37865	1	33.00	253	0.00
38117	1	33.00	252	0.00
38370	1	33.25	253	0.00
38623	1	33.00	253	-0.00
38875	1	33.75	252	0.00
39128	1	33.50	253	-0.00
39379	1	34.00	251	0.00
39632	1	34.25	253	0.00
39884	1	34.50	252	0.00
40137	1	34.75	253	0.00
40389	1	34.25	252	-0.00
40642	1	34.75	253	0.00
40894	1	34.75	252	0.00
41147	1	35.50	253	0.00
41399	1	35.75	252	0.00
41652	1	35.50	253	-0.00
41905	1	36.25	253	0.00
42157	1	36.25	252	0.00
42409	1	36.50	252	0.00
42661	1	36.50	252	0.00
42914	1	37.00	253	0.00
43166	1	37.25	252	0.00
43419	1	37.50	253	0.00
43671	1	37.25	252	-0.00
43924	1	38.00	253	0.00
44176	1	38.50	252	0.00
44429	1	38.50	253	0.00
44681	1	38.75	252	0.00
44934	1	38.75	253	0.00
45186	1	38.75	252	0.00
45438	1	39.50	252	0.00
45690	1	39.75	252	0.00
45943	1	40.00	253	0.00
46195	1	40.25	252	0.00
46448	1	40.50	253	0.00
46701	1	40.75	253	0.00
46953	1	41.00	252	0.00
47206	1	41.25	253	0.00
47458	1	42.00	252	0.00
47711	1	41.75	253	-0.00
47963	1	42.25	252	0.00
48216	1	42.50	253	0.00
48467	1	42.25	251	-0.00
48720	1	43.00	253	0.00
48972	1	43.00	252	0.00
49225	1	43.75	253	0.00
49477	1	43.75	252	0.00
49730	1	44.00	253	0.00
49982	1	44.75	252	0.00
50235	1	44.25	253	-0.00
50488	1	44.50	253	0.00
50740	1	45.00	252	0.00
50993	1	45.75	253	0.00
51245	1	45.75	252	0.00
51497	1	46.50	252	0.00
51749	1	46.25	252	-0.00
52002	1	46.50	253	0.00
52254	1	47.00	252	0.00
52507	1	47.25	253	0.00
52759	1	47.25	252	0.00
53012	1	48.50	253	0.00
53264	1	48.50	252	0.00
53517	1	48.50	253	0.00
53769	1	49.00	252	0.00
54022	1	49.50	253	0.00
54274	1	49.75	252	0.00
54526	1	50.25	252	0.00
54778	1	50.25	252	0.00
55031	1	50.50	253	0.00
55284	1	51.00	253	0.00
55536	1	51.50	252	0.00
55789	1	51.25	253	-0.00
56041	1	51.75	252	0.00
56294	1	52.25	253	0.00
56546	1	52.50	252	0.00
56799	1	53.00	253	0.00
57051	1	53.00	252	0.00
57304	1	53.75	253	0.00
57555	1	54.25	251	0.00
57808	1	54.00	253	-0.00
58060	1	54.75	252	0.00
58313	1	55.00	253	0.00
58565	1	55.25	252	0.00
58818	1	55.75	253	0.00
59071	1	56.00	253	0.00
59323	1	56.50	252	0.00
59576	1	56.75	253	0.00
59828	1	57.00	252	0.00
60081	1	57.50	253	0.00
60333	1	58.00	252	0.00
60585	1	58.25	252	0.00
60837	1	58.00	252	-0.00
61090	1	59.00	253	0.00
61342	1	59.25	252	0.00
61595	1	59.50	253	0.00
61847	1	60.00	252	0.00
62100	1	60.50	253	0.00
62353	1	60.50	253	0.00
62605	1	61.00	252	0.00
62858	1	61.50	253	0.00
63110	1	62.00	252	0.00
63363	1	62.50	253	0.00
63614	1	62.50	251	0.00
63867	1	63.00	253	0.00
64119	1	63.50	252	0.00
64372	1	63.50	253	0.00
64624	1	64.00	252	0.00
64877	1	64.50	253	0.00
65129	1	64.75	252	0.00
65382	1	65.00	253	0.00
65634	1	65.25	252	0.00
65887	1	66.00	253	0.00
66139	1	66.00	252	0.00
66392	1	66.50	253	0.00
66643	1	67.25	251	0.00
66896	1	67.50	253	0.00
67149	1	67.75	253	0.00
67401	1	68.25	252	0.00
67654	1	68.50	253	0.00
67906	1	69.00	252	0.00
68159	1	69.50	253	0.00
68411	1	69.75	252	0.00
68664	1	70.50	253	0.00
68916	1	70.50	252	0.00
69169	1	71.00	253	0.00
69421	1	71.75	252	0.00
69673	1	71.50	252	-0.00
69925	1	72.25	252	0.00
70178	1	72.50	253	0.00
70430	1	72.75	252	0.00
70683	1	73.50	253	0.00
70936	1	73.75	253	0.00
71188	1	74.25	252	0.00
71441	1	74.25	253	0.00
71693	1	75.25	252	0.00
71946	1	75.00	253	-0.00
72198	1	75.75	252	0.00
72451	1	76.00	253	0.00
72702	1	76.75	251	0.00
72955	1	76.50	253	-0.00
73207	1	77.00	252	0.00
73460	1	78.00	253	0.00
73712	1	78.00	252	0.00
73965	1	78.75	253	0.00
74218	1	78.25	253	-0.00
74470	1	79.75	252	0.01
74723	1	80.00	253	0.00
74975	1	80.25	252	0.00
75228	1	80.50	253	0.00
75480	1	81.00	252	0.00
75732	1	81.25	252	0.00
75984	1	82.00	252	0.00
76237	1	82.50	253	0.00
76489	1	82.75	252	0.00
76742	1	83.25	253	0.00
76994	1	83.50	252	0.00
77247	1	83.75	253	0.00
77500	1	84.50	253	0.00
77752	1	84.75	252	0.00
78005	1	85.25	253	0.00
78257	1	85.75	252	0.00
78510	1	86.25	253	0.00
78761	1	86.75	251	0.00
79014	1	86.75	253	0.00
79266	1	87.25	252	0.00
79519	1	88.00	253	0.00
79771	1	88.50	252	0.00
80024	1	89.00	253	0.00
80276	1	89.00	252	0.00
80529	1	89.75	253	0.00
80782	1	90.00	253	0.00
81034	1	90.50	252	0.00
81287	1	91.25	253	0.00
81539	1	91.00	252	-0.00
81792	1	91.50	253	0.00
82043	1	91.75	251	0.00
82296	1	92.75	253	0.00
82548	1	93.25	252	0.00
82801	1	93.50	253	0.00
83053	1	94.00	252	0.00
83306	1	94.50	253	0.00
83558	1	95.00	252	0.00
83811	1	95.25	253	0.00
84064	1	95.75	253	0.00
84316	1	96.25	252	0.00
84569	1	96.50	253	0.00
84820	1	97.00	251	0.00
85073	1	97.25	253	0.00
85325	1	97.25	252	0.00
85578	1	98.25	253	0.00
85830	1	99.00	252	0.00
86083	1	99.00	253	0.00
86335	1	99.75	252	0.00
86588	1	100.00	253	0.00
86840	1	100.25	252	0.00
87093	1	101.00	253	0.00
87346	1	101.50	253	0.00
87598	1	102.00	252	0.00
87851	1	102.50	253	0.00
88102	1	102.75	251	0.00
88355	1	103.00	253	0.00
88607	1	103.50	252	0.00
88860	1	103.75	253	0.00
89113	1	104.50	253	0.00
89365	1	105.00	252	0.00
89618	1	105.25	253	0.00
89870	1	105.75	252	0.00
90123	1	106.25	253	0.00
90376	1	107.25	253	0.00
90628	1	107.00	252	-0.00
90881	1	107.50	253	0.00
91132	1	107.50	251	0.00
91385	1	108.00	253	0.00
91637	1	108.75	252	0.00
91890	1	109.50	253	0.00
92143	1	109.00	253	-0.00
92395	1	110.00	252	0.00
92648	1	110.50	253	0.00
92900	1	110.75	252	0.00
93153	1	111.50	253	0.00
93405	1	111.50	252	0.00
93658	1	112.00	253	0.00
93911	1	112.75	253	0.00
94162	1	112.75	251	0.00
94415	1	113.75	253	0.00
94667	1	113.25	252	-0.00
94920	1	114.50	253	0.00
95173	1	114.75	253	0.00
95425	1	115.25	252	0.00
95678	1	116.00	253	0.00
95930	1	116.50	252	0.00
96183	1	117.00	253	0.00
96435	1	116.75	252	-0.00
96688	1	117.25	253	0.00
96941	1	118.00	253	0.00
97192	1	118.50	251	0.00
97445	1	118.50	253	0.00
97697	1	119.50	252	0.00
97950	1	119.75	253	0.00
98202	1	120.25	252	0.00
98455	1	120.75	253	0.00
98708	1	121.25	253	0.00
98960	1	121.25	252	0.00
99213	1	122.00	253	0.00
99465	1	122.50	252	0.00
99718	1	123.00	253	0.00
99971	1	123.50	253	0.00
100222	1	123.75	251	0.00
100475	1	124.50	253	0.00
100727	1	124.75	252	0.00
100980	1	124.75	253	0.00
101233	1	125.75	253	0.00
101485	1	126.00	252	0.00
101738	1	126.50	253	0.00
101990	1	126.50	252	0.00
102243	1	127.25	253	0.00
102496	1	127.50	253	0.00
102748	1	128.25	252	0.00
103001	1	128.75	253	0.00
103254	1	129.00	253	0.00
103505	1	129.50	251	0.00
103758	1	129.75	253	0.00
104010	1	130.50	252	0.00
104263	1	131.00	253	0.00
104516	1	131.50	253	0.00
104768	1	132.00	252	0.00
105021	1	132.25	253	0.00
105274	1	132.25	253	0.00
105526	1	133.00	252	0.00
105779	1	133.50	253	0.00
106031	1	133.50	252	0.00
106284	1	134.50	253	0.00
106536	1	135.00	252	0.00
106788	1	134.75	252	-0.00
107041	1	135.75	253	0.00
107294	1	136.25	253	0.00
107546	1	136.50	252	0.00
107799	1	137.00	253	0.00
108051	1	137.50	252	0.00
108304	1	138.00	253	0.00
108557	1	138.50	253	0.00
108809	1	138.50	252	0.00
109062	1	139.00	253	0.00
109314	1	139.25	252	0.00
109566	1	140.00	252	0.00
109819	1	140.25	253	0.00
110071	1	141.00	252	0.00
110324	1	141.00	253	0.00
110577	1	141.75	253	0.00
110829	1	142.25	252	0.00
111082	1	142.50	253	0.00
111334	1	143.25	252	0.00
111587	1	143.25	253	0.00
111840	1	144.00	253	0.00
112092	1	144.50	252	0.00
112345	1	144.75	253	0.00
112598	1	144.75	253	0.00
112849	1	145.50	251	0.00
113102	1	146.00	253	0.00
113354	1	146.50	252	0.00
113607	1	147.00	253	0.00
113860	1	147.00	253	0.00
114112	1	148.00	252	0.00
114365	1	148.25	253	0.00
114617	1	148.25	252	0.00
114870	1	149.00	253	0.00
115123	1	149.00	253	0.00
115375	1	150.00	252	0.00
115628	1	150.25	253	0.00
115880	1	150.75	252	0.00
116132	1	151.00	252	0.00
116385	1	151.75	253	0.00
116637	1	152.00	252	0.00
116890	1	152.50	253	0.00
117143	1	153.00	253	0.00
117395	1	153.25	252	0.00
117648	1	153.75	253	0.00
117901	1	154.00	253	0.00
118153	1	154.50	252	0.00
118406	1	155.00	253	0.00
118658	1	155.50	252	0.00
118910	1	156.00	252	0.00
119163	1	156.50	253	0.00
119415	1	156.75	252	0.00
119668	1	157.25	253	0.00
119921	1	157.75	253	0.00
120173	1	158.00	252	0.00
120426	1	158.75	253	0.00
120678	1	158.75	252	0.00
120931	1	159.50	253	0.00
121184	1	159.00	253	-0.00
121436	1	160.25	252	0.00
