[Starting] Opening the serial port - COM14
[Info] Opened the serial port - COM14
---BEGIN---
TIME	INPUT	OUTPUT1	OUTPUT2	TS	GRADIENT
147	0	23.25	0.00	147	-0.15816
179	0	23.25	0.00	32	0.00000
211	0	23.25	0.00	32	0.00000
243	0	23.25	0.00	32	0.00000
275	0	23.25	0.00	32	0.00000
307	0	23.25	0.00	32	0.00000
338	0	23.25	0.00	31	0.00000
371	0	23.25	0.00	33	0.00000
403	0	23.25	0.00	32	0.00000
435	0	23.25	0.00	32	0.00000
466	0	23.25	0.00	31	0.00000
498	0	23.25	0.00	32	0.00000
531	0	23.25	0.00	33	0.00000
563	0	23.25	0.00	32	0.00000
594	0	23.25	0.00	31	0.00000
626	0	23.25	0.00	32	0.00000

658	0	23.25	21.94	32	0.00000
691	0	23.25	21.94	33	0.00000
722	0	23.25	21.94	31	0.00000
754	0	23.25	22.00	32	0.00000
1193	0	23.25	22.00	439	0.00000
1728	0	22.75	22.00	535	-0.00093
2264	0	23.25	22.00	536	0.00093
2798	1	23.00	22.00	534	-0.00047
3333	1	23.25	21.94	535	0.00047
3868	1	23.25	22.00	535	0.00000
4404	1	23.25	22.00	536	0.00000
4938	1	23.25	22.00	534	0.00000
5474	1	23.25	21.94	536	0.00000
6008	1	23.25	22.00	534	0.00000
6544	1	22.50	22.00	536	-0.00140
7078	1	22.75	22.00	534	0.00047
7614	1	23.25	22.00	536	0.00093
8148	1	23.25	22.00	534	0.00000
8684	1	23.25	22.00	536	0.00000
9219	1	23.25	22.00	535	0.00000
9754	1	23.00	22.00	535	-0.00047
10289	1	23.25	22.00	535	0.00047
10824	1	23.25	22.00	535	0.00000
11359	1	22.50	21.94	535	-0.00140
11894	1	23.00	22.00	535	0.00093
12430	1	23.25	22.00	536	0.00047
12964	1	23.25	21.94	534	0.00000
13500	1	23.50	21.94	536	0.00047
14035	1	23.25	22.00	535	-0.00047
14570	1	23.25	22.00	535	0.00000
15106	1	23.00	22.00	536	-0.00047
15640	1	23.25	21.94	534	0.00047
16176	1	23.25	22.00	536	0.00000
16711	1	23.50	22.00	535	0.00047
17246	1	22.75	22.00	535	-0.00140
17781	1	23.50	22.00	535	0.00140
18316	1	23.50	21.94	535	0.00000
18851	1	23.50	22.00	535	0.00000
19386	1	23.00	22.00	535	-0.00093
19921	1	22.75	22.00	535	-0.00047
20457	1	23.75	22.00	536	0.00187
20992	1	23.25	22.00	535	-0.00093
21527	1	23.75	22.00	535	0.00093
22062	1	23.75	22.00	535	0.00000
22597	1	24.00	22.00	535	0.00047
23133	1	23.50	22.00	536	-0.00093
23667	1	24.00	22.00	534	0.00094
24203	1	24.00	22.00	536	0.00000
24737	1	24.25	22.00	534	0.00047
25273	1	24.50	21.94	536	0.00047
25808	1	24.00	22.00	535	-0.00093
26343	1	24.50	22.00	535	0.00093
26878	1	24.25	22.00	535	-0.00047
27414	1	24.50	22.00	536	0.00047
27949	1	25.00	22.00	535	0.00093
28484	1	25.00	22.00	535	0.00000
29019	1	25.00	22.00	535	0.00000
29554	1	25.25	22.00	535	0.00047
30089	1	25.50	22.00	535	0.00047
30624	1	26.00	22.00	535	0.00093
31160	1	26.00	22.00	536	0.00000
