---BEGIN---
TIME	INPUT	OUTPUT1	OUTPUT2	TS	GRADIENT
147	0	23.25	0.00	147	0.00000
179	0	23.25	0.00	32	0.00000
211	0	23.25	0.00	32	0.00000
243	0	23.25	0.00	32	0.00000
275	0	23.25	0.00	32	0.00000
307	0	23.25	0.00	32	0.00000
338	0	23.25	0.00	31	0.00000
370	0	23.25	0.00	32	0.00000
403	0	23.25	0.00	33	0.00000
435	0	23.25	0.00	32	0.00000
466	0	23.25	0.00	31	0.00000
498	0	23.25	0.00	32	0.00000
530	0	23.25	0.00	32	0.00000
563	0	23.25	0.00	33	0.00000
594	0	23.25	0.00	31	0.00000
626	0	23.25	0.00	32	0.00000
658	0	23.25	22.12	32	0.00000
690	0	23.25	22.12	32	0.00000
722	0	23.25	22.12	32	0.00000
754	0	23.25	22.12	32	0.00000
1193	0	23.00	22.12	439	-0.00057
1728	0	22.75	22.12	535	-0.00047
2264	0	23.25	22.12	536	0.00093
2798	1	23.25	22.12	534	0.00000
3334	1	23.25	22.12	536	0.00000
3868	1	23.25	22.06	534	0.00000
4404	1	23.00	22.06	536	-0.00047
4938	1	23.25	22.12	534	0.00047
5474	1	22.75	22.06	536	-0.00093
6009	1	23.00	22.06	535	0.00047
6544	1	22.75	22.06	535	-0.00047
7079	1	23.25	22.06	535	0.00093
7614	1	23.25	22.06	535	0.00000
8150	1	23.25	22.06	536	0.00000
8685	1	23.00	22.06	535	-0.00047
9220	1	23.25	22.06	535	0.00047
9755	1	23.50	22.12	535	0.00047
10290	1	23.50	22.12	535	0.00000
10825	1	23.50	22.12	535	0.00000
11361	1	23.25	22.06	536	-0.00047
11895	1	23.25	22.12	534	0.00000
12431	1	23.25	22.12	536	0.00000
12966	1	23.50	22.12	535	0.00047
13501	1	23.50	22.06	535	0.00000
14036	1	23.75	22.12	535	0.00047
14571	1	23.50	22.06	535	-0.00047
15107	1	23.00	22.12	536	-0.00093
15642	1	23.50	22.12	535	0.00093
16177	1	23.00	22.12	535	-0.00093
16712	1	23.25	22.12	535	0.00047
17248	1	23.25	22.12	536	0.00000
17782	1	23.50	22.12	534	0.00047
18318	1	23.50	22.12	536	0.00000
18853	1	23.00	22.06	535	-0.00093
19388	1	23.25	22.12	535	0.00047
19923	1	23.50	22.12	535	0.00047
20459	1	23.25	22.06	536	-0.00047
20994	1	23.50	22.12	535	0.00047
21529	1	23.50	22.12	535	0.00000
22065	1	23.50	22.12	536	0.00000
22599	1	23.50	22.12	534	0.00000
23135	1	23.50	22.12	536	0.00000
23670	1	23.50	22.12	535	0.00000
24205	1	23.50	22.12	535	0.00000
24740	1	23.75	22.12	535	0.00047
25276	1	23.75	22.19	536	0.00000
25810	1	23.25	22.12	534	-0.00094
26346	1	23.75	22.12	536	0.00093
26882	1	23.75	22.12	536	0.00000
